ID,Title,Link,Source
2025-04-08-wweek-shave-millions,PPS to Shave $33 Million to $67 Million From Three Upcoming High School Modernizations,https://www.wweek.com/news/schools/2025/04/08/pps-will-shave-between-33-and-67-million-from-three-upcoming-high-school-modernizations/,Willamette Week
2025-04-08-board-regular-meeting-video,School Board Regular Meeting: Draft Modernization Video,https://www.youtube.com/watch?v=R8Yy5sOGBQQ&t=7980s,
2025-04-08-board-regular-meeting-presentation,School Board Regular Meeting: Draft Modernization Presentation,Download,PPS
2025-03-31-listening,Listening Session,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/FINAL%20JHS%20Listening%20Session%20Comms%203-31-25.pdf,PPS
2025-03-19-wweek-too-many,Too Many High Schools,https://www.wweek.com/news/schools/2025/03/19/too-many-high-schools/,Willamette Week
2025-03-18-oregonlive-pared-back,Plans Emerge for Pared-Back High School in Portland,https://www.oregonlive.com/education/2025/03/plans-emerge-for-pared-back-high-schools-in-portland.html,Oregon Live
2025-03-18-board-special-meeting-video,School Board Special Meeting: Modernization Projects Video,https://www.youtube.com/watch?v=XENAU3DUf5g&t=2700s,PPS
2025-03-18-board-special-meeting-presentation,School Board Special Meeting: Modernization Projects Presentation,Download,PPS
2025-03-08-modernization-update,Modernization Project Update,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Jefferson%20Project%20Update%20March%202024.pdf,PPS
2025-03-05-modernization-update,Modernization Project Update,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Modernization%20March%20Update%20message.pdf,PPS
2025-03-04-board-regular-meeting-video,School Board Regular Meeting: Expenditure Contract Video,https://www.youtube.com/watch?v=GM0ozDVDOQ4&t=10500s,PPS
2025-02-12-kgw-scale-back,PPS Scales Back Plans for Upgrades to Three High Schools to Save Millions,https://www.kgw.com/article/news/education/portland-public-schools-downsize-renovation-three-high-school-costs/283-5b35e6b6-94e4-49e0-85e3-397a6bf7d160,KGW
2025-02-11-katu-cut-costs,PPS Aims to Cut Down Costs on 3 High Schools' Renovations,https://katu.com/news/local/portland-public-schools-aims-to-cut-down-costs-on-3-high-schools-cleveland-jefferson-ida-b-wells-renovations,KATU
2025-02-11-board-special-meeting-video,School Board Special Meeting: 2025 Bond Video,https://www.youtube.com/watch?v=_dDmpgZcNfI&t=110s,PPS
2025-02-11-board-special-meeting-minutes,School Board Special Meeting: 2025 Bond Minutes,Download,PPS
2025-02-10-oregonlive-build-smaller,"Build High Schools Smaller to Cut Costs, Portland School Board Members Say",https://www.oregonlive.com/education/2025/02/build-high-schools-smaller-to-cut-costs-portland-school-board-members-say.html,Oregon Live
2025-02-08-wweek-readers-respond,Readers Respond to Three Stalled School Projects,https://www.wweek.com/news/dialogue/2025/02/08/readers-respond-to-three-stalled-school-projects/,Willamette Week
2025-02-05-wweek-willing-to-cut,Here's What Each School Board Member is Willing to Cut from Modernization Projects,https://www.wweek.com/news/schools/2025/02/05/heres-what-each-school-board-member-is-willing-to-cut-from-modernization-projects/,Willamette Week
2025-02-04-board-regular-meeting-video,School Board Regular Meeting: Construction Cost Analysis Video,https://www.youtube.com/watch?v=zxaXALjzumk&t=6270s,PPS
2025-02-04-board-regular-meeting-minutes,School Board Regular Meeting: Construction Cost Analysis Minutes,Download,PPS
2025-01-29-wweek-have-stalled,Three Projects Meant to Benefit PPS's Black Community Have Stalled,https://www.wweek.com/news/schools/2025/01/29/three-projects-meant-to-benefit-ppss-black-community-have-stalled/,Willamette Week
2025-01-28-oregonlive-audit-finds,"PPS' Costly Plan to Modernize High Schools Out of Line with Similar Projects in Region, Audit Finds",https://www.oregonlive.com/education/2025/01/portland-public-schools-costly-plan-to-modernize-high-schools-out-of-line-with-similar-projects-in-region-audit-finds.html,Oregon Live
2025-01-22-bond-accountability-committee-video,Bond Accountability Committee: Quarterly Video,https://www.youtube.com/watch?v=1M639LMCbmg&t=5700s,PPS
2025-01-22-bond-accountability-committee-report,Bond Accountability Committee: Quarterly Report,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/BAC%20REPORT%201-22-25_Final.pdf,PPS
2025-01-22-bond-accountability-committee-presentation,Bond Accountability Committee: Quarterly Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/BAC%20Presentation_2025%20Q1_January%2022%202025.pdf#page37,PPS
2025-01-22-bond-accountability-committee-minutes,Bond Accountability Committee: Quarterly Minutes,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Bond%20Accountability%20Committee%20BAC%202025%20Q1%20Meeting%20Minutes.pdf,PPS
2025-01-19-oregonlive-off-charts,High School Construction Costs in Portland are Headed off the Charts. Why?,https://www.oregonlive.com/education/2025/01/high-school-construction-costs-in-portland-are-headed-off-the-charts-why.html,Oregon Live
2025-01-09-asumag-may-ballot,Portland (Oregon) District Puts $1.8 Billion Bond Request on May Ballot,https://www.asumag.com/funding/bond-issues/article/55260070/portland-oregon-district-puts-18-billion-bond-request-on-may-ballot,American School & University
2025-01-07-wweek-portland-voters,PPS Board Refers $1.83 Billion Bond to Portland Voters,https://www.wweek.com/news/schools/2025/01/07/pps-school-board-refers-183-billion-bond-to-portland-voters/,Willamette Week
2025-01-07-board-regular-meeting-video,School Board Regular Meeting: Bond Resolution 7038 Video,https://www.youtube.com/watch?v=YLB6Aken-Vo&t=7440s,PPS
2025-01-07-board-regular-meeting-minutes,School Board Regular Meeting: Bond Resolution 7038 Minutes,Download,PPS
2024-12-18-bond-accountability-committee-video,Bond Accountability Committee: Bond Planning Video,https://www.youtube.com/watch?v=x63MmJNkpx8&t=3610s,PPS
2024-12-18-bond-accountability-committee-report,Bond Accountability Committee: Bond Planning Report,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Report%20to%20The%20Portland%20Public%20Schools%20Board%20of%20Directors%202025%20GO%20Bond%20Measure.pdf,PPS
2024-12-18-bond-accountability-committee-presentation,Bond Accountability Committee: Bond Planning Presentation,Download,PPS
2024-12-17-wweek-falling-behind,Auditor Warns PPS' Center for Black Student Excellence is Falling Behind,https://www.wweek.com/news/schools/2024/12/17/auditor-warns-portland-public-schools-center-for-black-student-excellence-is-falling-behind/,Willamette Week
2024-12-17-board-special-meeting-video,School Board Special Meeting: Bond Referral Language Video,https://www.youtube.com/watch?v=EO772k4-DlY&t=2110s,PPS
2024-12-17-board-special-meeting-presentation,School Board Special Meeting: Bond Referral Language Presentation,Download,PPS
2024-12-17-board-special-meeting-minutes,School Board Special Meeting: Bond Referral Language Minutes,Download,PPS
2024-12-13-bond-accountability-committee-conceptual-bond,Bond Accountability Committee: Conceptual Bond Budgets,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Exhibit%20A%20-%20Proposed%20GO%20Bond%2012%2013%2024.pdf,PPS
2024-12-09-koin-cost-concerns,PPS Pauses 3 High School Rebuilds over Cost Concerns,https://www.koin.com/news/portland/pps-pauses-3-high-school-rebuilds-over-cost-concerns/,KOIN
2024-12-04-oregonlive-most-expensive,PPS Floats Scaled Back Costs to Build What Could Have Been 'the most expensive high schools in the US',https://www.oregonlive.com/education/2024/12/portland-public-schools-floats-scaled-back-costs-to-build-what-could-have-been-the-most-expensive-high-schools-in-the-united-states.html,Oregon Live
2024-12-04-engagement-pause,Pause on Community Engagement Meetings,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/PPS%20msg%20about%20Bond%20PAuse%2012-4-24.pdf,PPS
2024-12-03-board-regular-meeting-video,School Board Regular Meeting: 2025 Bond Video,https://www.youtube.com/watch?v=3bkoRIhNqFY&t=5920s,PPS
2024-12-03-board-regular-meeting-minutes,School Board Regular Meeting: 2025 Bond Minutes,Download,PPS
2024-12-02-improvement-oversight-committee-video,School Board Facilities Improvement Meeting: 2025 Bond Video,https://www.youtube.com/watch?v=hpR_gcyPy9A&t=1310s,PPS
2024-12-02-improvement-oversight-committee-presentation,School Board Facilities Improvement Meeting: 2025 Bond Presentation,Download,PPS
2024-12-02-improvement-oversight-committee-minutes,School Board Facilities Improvement Meeting: 2025 Bond Minutes,Download,PPS
2024-12-02-historic-landmarks-video,Historic Landmarks Commission: Video,https://www.youtube.com/watch?v=DOH3fxdVXRo,City of Portland
2024-12-02-historic-landmarks-summary,Historic Landmarks Commission: Summary Memo,Download,City of Portland
